driverId,position,fastestLapTime,year,round,name,datetime
1,1,01:34.0,2021,1,Bahrain Grand Prix,2021-03-28T15:00:00.000
1,1,01:25.1,2021,20,Qatar Grand Prix,2021-11-21T14:00:00.000
830,1,01:41.0,2020,17,Abu Dhabi Grand Prix,2020-12-13T13:10:00.000
815,1,00:56.8,2020,16,Sakhir Grand Prix,2020-12-06T17:10:00.000
1,1,01:32.9,2020,15,Bahrain Grand Prix,2020-11-29T14:10:00.000
1,1,01:39.4,2020,14,Turkish Grand Prix,2020-11-15T10:10:00.000
1,1,01:15.5,2020,13,Emilia Romagna Grand Prix,2020-11-01T12:10:00.000
1,1,01:18.7,2020,12,Portuguese Grand Prix,2020-10-25T12:10:00.000
1,1,01:28.1,2020,11,Eifel Grand Prix,2020-10-11T13:10:00.000
822,1,01:37.0,2020,10,Russian Grand Prix,2020-09-27T11:10:00.000
1,1,01:18.8,2020,9,Tuscan Grand Prix,2020-09-13T13:10:00.000
842,1,01:24.0,2020,8,Italian Grand Prix,2020-09-06T13:10:00.000
1,1,01:47.8,2020,7,Belgian Grand Prix,2020-08-30T13:10:00.000
1,1,01:19.8,2020,6,Spanish Grand Prix,2020-08-16T13:10:00.000
830,1,01:29.5,2020,5,70th Anniversary Grand Prix,2020-08-09T13:10:00.000
1,1,01:29.2,2020,4,British Grand Prix,2020-08-02T13:10:00.000
1,1,01:16.6,2020,3,Hungarian Grand Prix,2020-07-19T13:10:00.000
1,1,01:06.7,2020,2,Styrian Grand Prix,2020-07-12T13:10:00.000
822,1,01:07.7,2020,1,Austrian Grand Prix,2020-07-05T13:10:00.000
1,1,01:39.3,2019,21,Abu Dhabi Grand Prix,2019-12-01T13:10:00.000
830,1,01:10.9,2019,20,Brazilian Grand Prix,2019-11-17T17:10:00.000
822,1,01:37.0,2019,19,United States Grand Prix,2019-11-03T19:10:00.000
1,1,01:19.5,2019,18,Mexican Grand Prix,2019-10-27T19:10:00.000
822,1,01:31.9,2019,17,Japanese Grand Prix,2019-10-13T05:10:00.000
1,1,01:35.8,2019,16,Russian Grand Prix,2019-09-29T11:10:00.000
20,1,01:44.8,2019,15,Singapore Grand Prix,2019-09-22T12:10:00.000
844,1,01:23.0,2019,14,Italian Grand Prix,2019-09-08T13:10:00.000
844,1,01:46.7,2019,13,Belgian Grand Prix,2019-09-01T13:10:00.000
1,1,01:18.5,2019,12,Hungarian Grand Prix,2019-08-04T13:10:00.000
830,1,01:16.6,2019,11,German Grand Prix,2019-07-28T13:10:00.000
1,1,01:27.4,2019,10,British Grand Prix,2019-07-14T13:10:00.000
830,1,01:07.5,2019,9,Austrian Grand Prix,2019-06-30T13:10:00.000
1,1,01:32.8,2019,8,French Grand Prix,2019-06-23T13:10:00.000
1,1,01:14.8,2019,7,Canadian Grand Prix,2019-06-09T18:10:00.000
1,1,01:16.2,2019,6,Monaco Grand Prix,2019-05-26T13:10:00.000
1,1,01:18.5,2019,5,Spanish Grand Prix,2019-05-12T13:10:00.000
822,1,01:44.0,2019,4,Azerbaijan Grand Prix,2019-04-28T12:10:00.000
1,1,01:35.9,2019,3,Chinese Grand Prix,2019-04-14T06:10:00.000
1,1,01:33.5,2019,2,Bahrain Grand Prix,2019-03-31T15:10:00.000
822,1,01:25.6,2019,1,Australian Grand Prix,2019-03-17T05:10:00.000
1,1,01:41.4,2018,21,Abu Dhabi Grand Prix,2018-11-25T13:10:00.000
1,1,01:11.8,2018,20,Brazilian Grand Prix,2018-11-11T17:10:00.000
830,1,01:19.2,2018,19,Mexican Grand Prix,2018-10-28T19:10:00.000
8,1,01:38.5,2018,18,United States Grand Prix,2018-10-21T18:10:00.000
1,1,01:32.8,2018,17,Japanese Grand Prix,2018-10-07T05:10:00.000
1,1,01:35.9,2018,16,Russian Grand Prix,2018-09-30T11:10:00.000
1,1,01:42.9,2018,15,Singapore Grand Prix,2018-09-16T12:10:00.000
1,1,01:22.5,2018,14,Italian Grand Prix,2018-09-02T13:10:00.000
20,1,01:46.6,2018,13,Belgian Grand Prix,2018-08-26T13:10:00.000
1,1,01:21.1,2018,12,Hungarian Grand Prix,2018-07-29T13:10:00.000
1,1,01:15.5,2018,11,German Grand Prix,2018-07-22T13:10:00.000
20,1,01:30.7,2018,10,British Grand Prix,2018-07-08T13:10:00.000
830,1,01:07.4,2018,9,Austrian Grand Prix,2018-07-01T13:10:00.000
1,1,01:34.5,2018,8,French Grand Prix,2018-06-24T14:10:00.000
20,1,01:14.0,2018,7,Canadian Grand Prix,2018-06-10T18:10:00.000
817,1,01:15.6,2018,6,Monaco Grand Prix,2018-05-27T00:00:00.000
1,1,01:19.1,2018,5,Spanish Grand Prix,2018-05-13T00:00:00.000
1,1,01:45.4,2018,4,Azerbaijan Grand Prix,2018-04-29T00:00:00.000
817,1,01:35.8,2018,3,Chinese Grand Prix,2018-04-15T00:00:00.000
20,1,01:34.5,2018,2,Bahrain Grand Prix,2018-04-08T00:00:00.000
20,1,01:26.5,2018,1,Australian Grand Prix,2018-03-25T00:00:00.000
