driverId,position,fastestLapTime,year,round,name,datetime
839,10,01:17.0,2024,9,Canadian Grand Prix,2024-06-09T18:00:00.000
807,11,01:16.7,2024,9,Canadian Grand Prix,2024-06-09T18:00:00.000
825,12,01:16.5,2024,9,Canadian Grand Prix,2024-06-09T18:00:00.000
822,13,01:17.3,2024,9,Canadian Grand Prix,2024-06-09T18:00:00.000
852,14,01:17.3,2024,9,Canadian Grand Prix,2024-06-09T18:00:00.000
855,15,01:17.3,2024,9,Canadian Grand Prix,2024-06-09T18:00:00.000
832,,01:19.0,2024,9,Canadian Grand Prix,2024-06-09T18:00:00.000
848,,01:19.4,2024,9,Canadian Grand Prix,2024-06-09T18:00:00.000
815,,01:18.8,2024,9,Canadian Grand Prix,2024-06-09T18:00:00.000
844,,01:26.0,2024,9,Canadian Grand Prix,2024-06-09T18:00:00.000
858,,01:26.5,2024,9,Canadian Grand Prix,2024-06-09T18:00:00.000
844,1,,2024,8,Monaco Grand Prix,2024-05-26T13:00:00.000
857,2,,2024,8,Monaco Grand Prix,2024-05-26T13:00:00.000
832,3,,2024,8,Monaco Grand Prix,2024-05-26T13:00:00.000
846,4,,2024,8,Monaco Grand Prix,2024-05-26T13:00:00.000
847,5,,2024,8,Monaco Grand Prix,2024-05-26T13:00:00.000
830,6,,2024,8,Monaco Grand Prix,2024-05-26T13:00:00.000
1,7,,2024,8,Monaco Grand Prix,2024-05-26T13:00:00.000
852,8,,2024,8,Monaco Grand Prix,2024-05-26T13:00:00.000
848,9,,2024,8,Monaco Grand Prix,2024-05-26T13:00:00.000
842,10,,2024,8,Monaco Grand Prix,2024-05-26T13:00:00.000
4,11,,2024,8,Monaco Grand Prix,2024-05-26T13:00:00.000
817,12,,2024,8,Monaco Grand Prix,2024-05-26T13:00:00.000
822,13,,2024,8,Monaco Grand Prix,2024-05-26T13:00:00.000
840,14,,2024,8,Monaco Grand Prix,2024-05-26T13:00:00.000
858,15,,2024,8,Monaco Grand Prix,2024-05-26T13:00:00.000
855,16,,2024,8,Monaco Grand Prix,2024-05-26T13:00:00.000
839,,,2024,8,Monaco Grand Prix,2024-05-26T13:00:00.000
815,,,2024,8,Monaco Grand Prix,2024-05-26T13:00:00.000
807,,,2024,8,Monaco Grand Prix,2024-05-26T13:00:00.000
825,,,2024,8,Monaco Grand Prix,2024-05-26T13:00:00.000
830,1,01:20.4,2024,7,Emilia Romagna Grand Prix,2024-05-19T13:00:00.000
846,2,01:20.0,2024,7,Emilia Romagna Grand Prix,2024-05-19T13:00:00.000
844,3,01:19.9,2024,7,Emilia Romagna Grand Prix,2024-05-19T13:00:00.000
857,4,01:19.9,2024,7,Emilia Romagna Grand Prix,2024-05-19T13:00:00.000
832,5,01:20.2,2024,7,Emilia Romagna Grand Prix,2024-05-19T13:00:00.000
1,6,01:20.3,2024,7,Emilia Romagna Grand Prix,2024-05-19T13:00:00.000
847,7,01:18.6,2024,7,Emilia Romagna Grand Prix,2024-05-19T13:00:00.000
815,8,01:19.7,2024,7,Emilia Romagna Grand Prix,2024-05-19T13:00:00.000
840,9,01:20.6,2024,7,Emilia Romagna Grand Prix,2024-05-19T13:00:00.000
852,10,01:20.9,2024,7,Emilia Romagna Grand Prix,2024-05-19T13:00:00.000
807,11,01:21.7,2024,7,Emilia Romagna Grand Prix,2024-05-19T13:00:00.000
825,12,01:21.0,2024,7,Emilia Romagna Grand Prix,2024-05-19T13:00:00.000
817,13,01:21.6,2024,7,Emilia Romagna Grand Prix,2024-05-19T13:00:00.000
839,14,01:21.3,2024,7,Emilia Romagna Grand Prix,2024-05-19T13:00:00.000
855,15,01:21.0,2024,7,Emilia Romagna Grand Prix,2024-05-19T13:00:00.000
842,16,01:21.4,2024,7,Emilia Romagna Grand Prix,2024-05-19T13:00:00.000
858,17,01:21.2,2024,7,Emilia Romagna Grand Prix,2024-05-19T13:00:00.000
822,18,01:21.5,2024,7,Emilia Romagna Grand Prix,2024-05-19T13:00:00.000
4,19,01:19.0,2024,7,Emilia Romagna Grand Prix,2024-05-19T13:00:00.000
848,,01:21.3,2024,7,Emilia Romagna Grand Prix,2024-05-19T13:00:00.000
846,1,01:31.0,2024,6,Miami Grand Prix,2024-05-05T20:00:00.000
830,2,01:31.3,2024,6,Miami Grand Prix,2024-05-05T20:00:00.000
844,3,01:31.1,2024,6,Miami Grand Prix,2024-05-05T20:00:00.000
815,4,01:30.9,2024,6,Miami Grand Prix,2024-05-05T20:00:00.000
832,5,01:30.9,2024,6,Miami Grand Prix,2024-05-05T20:00:00.000
1,6,01:31.2,2024,6,Miami Grand Prix,2024-05-05T20:00:00.000
852,7,01:31.7,2024,6,Miami Grand Prix,2024-05-05T20:00:00.000
847,8,01:31.9,2024,6,Miami Grand Prix,2024-05-05T20:00:00.000
4,9,01:31.7,2024,6,Miami Grand Prix,2024-05-05T20:00:00.000
839,10,01:32.0,2024,6,Miami Grand Prix,2024-05-05T20:00:00.000
807,11,01:31.9,2024,6,Miami Grand Prix,2024-05-05T20:00:00.000
842,12,01:32.1,2024,6,Miami Grand Prix,2024-05-05T20:00:00.000
857,13,01:30.6,2024,6,Miami Grand Prix,2024-05-05T20:00:00.000
855,14,01:32.0,2024,6,Miami Grand Prix,2024-05-05T20:00:00.000
817,15,01:32.1,2024,6,Miami Grand Prix,2024-05-05T20:00:00.000
822,16,01:32.1,2024,6,Miami Grand Prix,2024-05-05T20:00:00.000
840,17,01:31.6,2024,6,Miami Grand Prix,2024-05-05T20:00:00.000
848,18,01:30.8,2024,6,Miami Grand Prix,2024-05-05T20:00:00.000
825,19,01:31.8,2024,6,Miami Grand Prix,2024-05-05T20:00:00.000
858,,01:33.5,2024,6,Miami Grand Prix,2024-05-05T20:00:00.000
830,1,01:38.4,2024,5,Chinese Grand Prix,2024-04-21T07:00:00.000
